Terry, Joseph R Biden Jr, Democrat, 20.96
Throckmorton, Joseph R Biden Jr, Democrat, 9.17
Titus, Joseph R Biden Jr, Democrat, 27.09
Tom Green, Joseph R Biden Jr, Democrat, 27.07
Travis, Joseph R Biden Jr, Democrat, 71.62
Trinity, Joseph R Biden Jr, Democrat, 19.07
Tyler, Joseph R Biden Jr, Democrat, 14.52
Upshur, Joseph R Biden Jr, Democrat, 15.23
Upton, Joseph R Biden Jr, Democrat, 12.43
Uvalde, Joseph R Biden Jr, Democrat, 39.38
Val Verde, Joseph R Biden Jr, Democrat, 44.31
Van Zandt, Joseph R Biden Jr, Democrat, 13.51
Victoria, Joseph R Biden Jr, Democrat, 30.36
Walker, Joseph R Biden Jr, Democrat, 33.39
Waller, Joseph R Biden Jr, Democrat, 36.03
Ward, Joseph R Biden Jr, Democrat, 18.82
Washington, Joseph R Biden Jr, Democrat, 24.45
Webb, Joseph R Biden Jr, Democrat, 61.14
Wharton, Joseph R Biden Jr, Democrat, 28.01
Wheeler, Joseph R Biden Jr, Democrat, 7.19
Wichita, Joseph R Biden Jr, Democrat, 28.59
Wilbarger, Joseph R Biden Jr, Democrat, 21.13
Willacy, Joseph R Biden Jr, Democrat, 56.01
Williamson, Joseph R Biden Jr, Democrat, 49.66
Wilson, Joseph R Biden Jr, Democrat, 25.39
Winkler, Joseph R Biden Jr, Democrat, 16.84
Wise, Joseph R Biden Jr, Democrat, 15.37
Wood, Joseph R Biden Jr, Democrat, 15.4
Yoakum, Joseph R Biden Jr, Democrat, 15.96
Young, Joseph R Biden Jr, Democrat, 12.55
Zapata, Joseph R Biden Jr, Democrat, 47.13
Zavala, Joseph R Biden Jr, Democrat, 65.4
